intent,support,v1_precision,v1_recall,v1_f1,v2_precision,v2_recall,v2_f1,delta_f1
ACCOUNT_LOGIN_ISSUES,27,1.0,0.8148,0.898,1.0,0.9259,0.9615,0.0636
CANCEL_ORDER_REQUEST,10,0.9,0.9,0.9,0.75,0.9,0.8182,-0.0818
CARRIER_FEEDBACK_AND_INSTRUCTIONS,16,0.9091,0.625,0.7407,0.7647,0.8125,0.7879,0.0471
DAMAGED_OR_DEFECTIVE_ITEM,9,1.0,0.5556,0.7143,1.0,0.6667,0.8,0.0857
DELIVERY_DELAYED,12,0.2703,0.8333,0.4082,0.44,0.9167,0.5946,0.1864
DIGITAL_CONTENT_ACCESS,15,0.9286,0.8667,0.8966,1.0,0.8667,0.9286,0.032
MARKED_DELIVERED_NOT_RECEIVED,11,0.3125,0.4545,0.3704,0.3333,0.3636,0.3478,-0.0225
MODIFY_ORDER_DETAILS,12,1.0,0.5,0.6667,1.0,0.6667,0.8,0.1333
PRIME_MEMBERSHIP_MANAGEMENT,9,0.875,0.7778,0.8235,0.8889,0.8889,0.8889,0.0654
REFUND_STATUS_INQUIRY,8,0.875,0.875,0.875,0.7778,0.875,0.8235,-0.0515
RETURN_PICKUP_ISSUE,14,0.7143,0.3571,0.4762,0.8571,0.4286,0.5714,0.0952
UNRECOGNIZED_OR_DUPLICATE_CHARGE,8,0.8,1.0,0.8889,0.8889,1.0,0.9412,0.0523
WHERE_IS_MY_ORDER,15,0.75,0.4,0.5217,0.8182,0.6,0.6923,0.1706
WRONG_ITEM_RECEIVED,9,0.8889,0.8889,0.8889,0.8,0.8889,0.8421,-0.0468
