,ACCOUNT_LOGIN_ISSUES,CANCEL_ORDER_REQUEST,CARRIER_FEEDBACK_AND_INSTRUCTIONS,DAMAGED_OR_DEFECTIVE_ITEM,DELIVERY_DELAYED,DIGITAL_CONTENT_ACCESS,MARKED_DELIVERED_NOT_RECEIVED,MODIFY_ORDER_DETAILS,PRIME_MEMBERSHIP_MANAGEMENT,REFUND_STATUS_INQUIRY,RETURN_PICKUP_ISSUE,UNRECOGNIZED_OR_DUPLICATE_CHARGE,WHERE_IS_MY_ORDER,WRONG_ITEM_RECEIVED
ACCOUNT_LOGIN_ISSUES,22,0,0,0,2,1,0,0,0,0,0,1,0,0
CANCEL_ORDER_REQUEST,0,9,0,0,0,0,0,0,0,1,0,0,0,0
CARRIER_FEEDBACK_AND_INSTRUCTIONS,0,0,10,0,2,0,4,0,0,0,0,0,0,0
DAMAGED_OR_DEFECTIVE_ITEM,0,0,0,5,1,0,0,0,0,0,2,0,0,1
DELIVERY_DELAYED,0,0,0,0,10,0,0,0,1,0,0,0,1,0
DIGITAL_CONTENT_ACCESS,0,0,0,0,1,13,0,0,0,0,0,0,0,0
MARKED_DELIVERED_NOT_RECEIVED,0,0,0,0,5,0,5,0,0,0,0,0,1,0
MODIFY_ORDER_DETAILS,0,1,1,0,3,0,1,6,0,0,0,0,0,0
PRIME_MEMBERSHIP_MANAGEMENT,0,0,0,0,0,0,0,0,7,0,0,1,0,0
REFUND_STATUS_INQUIRY,0,0,0,0,1,0,0,0,0,7,0,0,0,0
RETURN_PICKUP_ISSUE,0,0,0,0,4,0,4,0,0,0,5,0,0,0
UNRECOGNIZED_OR_DUPLICATE_CHARGE,0,0,0,0,0,0,0,0,0,0,0,8,0,0
WHERE_IS_MY_ORDER,0,0,0,0,7,0,2,0,0,0,0,0,6,0
WRONG_ITEM_RECEIVED,0,0,0,0,1,0,0,0,0,0,0,0,0,8
